stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.4109009988117225,67,2.0568922171571797,63,2.083527346281011,57,1.6620153344484672,73
ank_0_16,1.7794117572928982,77,0.6118323993724923,80,0.563928652098461,120,0.9507356373195714,95,0.4903742672231908,101
ank_0_30,3.446224904304089,34,3.7752859810543256,40,2.462097009985439,26,4.077880587418591,24,2.940032964582413,41
ank_0_41,2.1414429988142,32,1.387181793461448,37,0.8178261401254319,58,1.7900605989022933,48,1.033593264932839,58
ank_10_1,1.4076327083073523,74,1.377915813401119,71,0.5748310082096783,139,1.25258686916516,99,0.8143695241886512,147
ank_11_14,1.8192047515453464,53,1.7490117398549954,54,0.5015115544908784,90,1.938914073093745,68,0.7141498947929601,74
ank_12_21,3.6687100519133344,55,3.4106762786139395,54,3.3061365217639676,49,3.6420308830215715,49,2.7481537523826765,52
ank_12_28,4.148737253943167,29,3.3825216132314453,33,2.5896342427930494,39,4.375049151679231,23,2.3619408477838983,47
ank_12_35,1.8827222694319123,56,0.7382688949882587,117,0.45207462064108916,200,0.5885107227504198,126,0.46546381575977275,220
ank_13_12,1.8296589099999625,83,1.2825156607715897,83,0.7194584747287398,120,1.0777510371173689,103,0.651038279303175,115
ank_13_17,2.40932319308119,48,1.8125061481350033,72,1.0642817392248682,79,2.849024920444593,70,2.3937248047154984,83
ank_13_21,2.361124845412062,56,2.346384698188705,59,2.169289834693437,76,2.959750430503883,48,2.6496970983191646,87
ank_13_29,2.4747231628745565,44,2.8163790004288862,45,1.378787851024239,53,2.0862990033451703,43,1.3766716338598106,81
ank_13_34,2.6576811136475333,21,3.695735833860348,30,2.0894798788160793,32,3.6285734766032034,28,1.832867794413137,32
ank_13_6,1.8831103007537435,72,0.9044904184304918,82,0.5222208257304967,187,0.8769607197900195,116,0.4821811398241694,156
ank_14_33,3.023045039824054,24,0.9105538062344039,42,1.2752717841961074,52,0.7442345809877738,50,0.7547170256552865,65
ank_14_9,2.641791696683742,60,1.2273096493941955,69,0.8067129254749198,70,1.834366053958965,74,1.0663562718549737,91
ank_15_22,3.388774697360242,47,2.415109253558002,53,1.7211455581819832,82,2.5113875519602824,63,1.4207429941706946,81
ank_15_41,3.6136167013673552,30,2.83227201023521,41,1.8807110398541689,55,2.3642214443813865,44,2.4057092148708104,71
ank_15_6,2.5788618794043954,58,1.1849923534100675,99,0.5783952388878976,163,1.1614105792424645,91,0.5984447876392982,112
ank_16_36,3.8246085668434584,11,3.0881596468987818,19,4.5860788199340226,18,3.6582900219657093,26,3.0811554832599573,20
ank_16_9,2.458009300731516,38,1.3559698437647938,56,0.7016299802383126,86,1.2737910656795328,71,0.9675406103317663,102
ank_17_17,3.2964406701328497,62,3.3897415409461864,58,2.895408096932039,41,3.6040757531107475,43,2.882379126778199,60
ank_17_19,2.732016847994027,55,2.90367104353731,53,2.358755263399137,66,3.235129688025698,57,2.683073216363728,81
ank_17_22,4.044052899922436,41,2.8776626667487,49,2.1948210758469195,48,2.3967029450110315,46,2.0022368771298873,76
ank_17_31,2.5965451202702488,61,0.8716186241989349,105,0.4575838514302129,158,0.6546103369483602,120,0.5398577027271845,184
