stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.2615618020844273,59,1.5161702810658078,73,2.134911027056798,65,1.9279598337984822,86
ank_0_16,1.7794117572928982,77,0.9920926713678265,91,0.6031871558234305,104,0.826271308703355,99,0.7735822090701546,126
ank_0_30,3.446224904304089,34,4.403427536060033,22,2.476525907415156,38,3.551810988888861,30,3.345494380421885,42
ank_0_41,2.1414429988142,32,1.397229931075977,41,0.9258816319788836,56,1.3909353559790196,46,1.562854281722388,54
ank_10_1,1.4076327083073523,74,1.3119933948767044,73,0.6606686179062227,120,1.1934525350051628,100,0.6846540220327799,126
ank_11_14,1.8192047515453464,53,2.3302333859222495,62,0.7811346450943781,115,1.5651075070233416,60,1.4952543381374452,67
ank_12_21,3.6687100519133344,55,3.446814993847064,46,3.3604997177518254,45,2.920087235703216,57,3.4603435433491656,57
ank_12_28,4.148737253943167,29,2.604892413724234,26,3.261765226963519,32,2.968099562270865,29,2.5026662267552418,41
ank_12_35,1.8827222694319123,56,1.476988963439283,48,0.5548683764645457,141,1.06512760622931,81,0.617974844031047,154
ank_13_12,1.8296589099999625,83,1.415563544546115,98,0.7158852505618994,140,1.541988678370915,109,1.0759727519521798,118
ank_13_17,2.40932319308119,48,2.790082107536538,29,1.0595658410954556,52,1.4214538692648246,52,1.7319735182549083,70
ank_13_21,2.361124845412062,56,2.4819730864622005,55,2.2185411159982715,68,2.8530902957387374,56,2.8558362638726504,77
ank_13_29,2.4747231628745565,44,2.336316340666543,36,2.790250680909971,58,3.155821480692766,43,2.2914863954904945,56
ank_13_34,2.6576811136475333,21,3.7788796907947018,31,2.773027544792875,35,3.3855497350423738,23,3.3008815969225305,37
ank_13_6,1.8831103007537435,72,1.1784389642316588,93,0.5664253661078027,147,0.9905273485716437,101,0.7197365011513313,125
ank_14_33,3.023045039824054,24,1.7165786119365258,47,1.3011853068078054,47,1.2074989745865012,37,0.8703815730063795,45
ank_14_9,2.641791696683742,60,2.031558343704876,65,1.2678404640892866,71,1.4295111684548953,67,1.345414946725842,94
ank_15_22,3.388774697360242,47,2.4027158964533157,61,2.4128685263625176,100,2.7381990683477437,43,1.9663241354892294,89
ank_15_41,3.6136167013673552,30,2.1557952432421774,39,1.8454305963087543,38,1.9567979477899107,34,1.809953598047503,51
ank_15_6,2.5788618794043954,58,1.0280220047798247,85,0.5220671656463687,126,1.5209889535320658,94,0.754935895173259,126
ank_16_36,3.8246085668434584,11,5.1456137228260905,19,1.7863712517564658,19,3.816737142993544,22,2.6040427242184125,26
ank_16_9,2.458009300731516,38,2.314304826987328,78,0.9104516794367271,89,2.090436215676575,72,1.7755067752274474,87
ank_17_17,3.2964406701328497,62,2.7823019931832165,43,2.869979102955957,61,3.290299532229345,54,2.578698346940544,50
ank_17_19,2.732016847994027,55,2.6832402795410717,59,2.6275737539874293,74,2.030312631380433,46,2.5954497356615196,60
ank_17_22,4.044052899922436,41,2.486057552747666,57,1.8816823319770908,49,2.6553546763071942,48,2.5339607252601923,81
ank_17_31,2.5965451202702488,61,1.604044160859854,81,0.5897804306860788,127,1.0637723269479178,105,0.8485775497135546,142
ank_17_32,3.0338922631839655,41,3.039034153946923,44,2.045581770912373,45,1.8170882727962647,37,1.7015702229902536,62
ank_18_16,3.662567148824515,46,2.18659943772216,62,2.056316663664064,76,2.0602865211243437,64,1.4173761025296212,65
ank_18_27,2.731841450892978,37,3.1414261435128368,46,2.422668892746718,58,2.838292842301488,49,2.022531068558333,52
ank_18_29,2.108913983042069,56,1.138504633880559,70,1.1610818632807125,88,1.2274316765294475,75,1.1120614928195738,84
ank_18_37,1.3963166307531871,33,0.7129727049109605,36,0.6842776992932931,55,0.8264987804276159,51,0.626980204301045,54
ank_18_39,1.7130964755298188,56,0.6552945166279165,74,0.40859374402023385,71,0.6380465012033415,71,0.44690303346220156,70
ank_18_7,2.5973855611610084,54,1.5372239238503298,60,1.3509031702085668,79,2.0102188933623544,73,1.0113827409615055,76
ank_19_15,2.79484842385336,51,1.448123409920609,59,1.5943338427761893,95,1.5779353539121814,76,1.1033857364269306,79
ank_19_33,4.31472540924909,19,3.476712738597456,28,3.6020033753290406,37,3.0121305107193566,24,3.431707278658518,33
ank_19_6,2.617815815166602,60,2.6264284451236435,70,2.3446106969518272,60,2.802145765992963,70,2.155028836617455,64
ank_19_9,2.625465191897572,32,2.021565128700023,54,2.2199667135350074,70,1.8760562284460849,46,1.6148091350601779,65
ank_1_34,3.473055132023447,26,3.468841206226358,36,1.3567879517762549,63,2.1936664954727303,45,1.6742110026882333,38
ank_20_10,2.3238447686911368,42,1.5984784172372977,80,0.7471281800282918,110,1.2190412420335361,77,0.8034708317695105,130
ank_20_19,3.339545118262882,43,3.2525007108701236,45,2.8138236947669553,60,2.9831969351626832,66,2.9169276091134417,71
ank_20_37,1.0153386685246166,105,0.6868607136440449,99,0.6707470854655725,157,0.6686462386075445,110,0.6030137687375314,172
ank_20_6,2.953198259465808,53,1.9759202604476225,71,2.0028023837196045,86,2.7499640982676556,55,2.5022075197778157,61
ank_22_10,1.9163009480003148,79,1.1897741976129488,76,0.7420928054225654,123,1.2439654578326298,104,0.9394373191180891,131
ank_22_16,3.183092814088014,51,3.454773386949099,44,2.945461812965894,47,2.450049377813296,44,1.64521531406667,43
ank_22_37,1.8768363310702,39,1.619700363220613,39,1.2983365959805986,68,1.0825751975840918,43,1.0364778595818112,74
ank_23_14,2.28414728193807,66,1.5022709031352324,78,1.4403809554875953,71,2.2207871603875997,74,2.200792784323617,83
ank_23_28,1.0840761626184352,66,1.003044509584874,91,0.662655521345547,116,1.1341887583964512,71,0.6905778111405956,105
ank_24_0,2.849717206309148,66,2.0136444309289256,85,1.1474067145750741,98,2.230122577169528,89,1.4393554405529756,107
ank_24_12,2.2243788583002155,51,2.4139640722924267,47,2.342927929215444,68,2.558720562241857,53,1.6074827352814118,55
ank_24_14,2.8929374480514225,42,1.355398206932822,74,0.5228430320067827,83,1.1043493217090123,102,0.8149156168113207,78
ank_24_3,3.493766352589964,61,3.3264878357080234,51,3.5085318851525478,51,3.597326255125481,43,3.1103371439257677,52
ank_25_1,2.324888068299498,68,1.8483772590709209,109,0.9975766211166024,120,1.5529278001366709,81,0.9440707590728066,126
ank_25_14,3.0427482489735964,50,3.454379409886127,48,1.8068248579776256,52,2.0190883772891617,46,2.4035669874333103,59
ank_25_16,3.184549785322961,58,2.519327472503461,48,2.575112892728094,74,2.7593613081155755,63,2.0092976727791902,76
ank_25_37,2.8801973886597163,37,2.469990086792914,47,1.0858926651052916,67,1.355454466613109,49,1.1003951733560904,65
ank_26_21,2.3878711270619757,50,2.7754180594466504,43,1.223171325698893,49,0.9876084921917045,43,1.0265153093751747,57
ank_26_22,2.949241989452295,35,2.1587878389322888,32,0.7854711685042322,66,1.2269393124223247,53,1.2038377215743599,64
ank_26_29,0.843267860813069,96,0.8954230822486808,134,0.6110210173063515,262,0.7885634616717343,144,0.703800299101163,219
ank_26_3,1.5236503168188016,86,1.2044701331622922,95,0.8540594915432482,104,1.1482878146106348,100,0.9832205049990003,114
ank_26_35,3.7947434073293462,37,3.9827568657795003,28,3.1469314198798615,29,3.2699094434801976,44,3.1846447557109285,47
ank_26_5,2.1644806762396795,73,1.3771826011307775,98,0.634637400206338,129,1.8788909582411908,97,0.9720164876230366,118
ank_27_14,3.9589737860704632,58,3.215704095981883,49,3.1090960203286824,47,3.5290321230067807,49,3.7364581740481517,65
ank_27_40,3.164839753789221,38,2.9855423608542373,41,2.389447871273574,33,2.6673191085758843,50,2.8240119203659138,60
ank_28_27,2.8721229839741707,40,1.2313553930931818,50,0.8947305131184886,58,1.6700808231561766,59,1.3840318629086326,45
ank_28_37,1.2579217692025366,89,0.988062489282352,106,0.558015588109002,140,0.8538559470878513,110,0.7351416846436476,104
ank_28_38,1.5318626584435702,47,0.7980735276779857,40,2.32671068634836,46,1.381402976942696,57,0.901560573059264,56
ank_28_9,3.1075607318622716,54,3.5999627125726095,63,3.4844409019509,61,3.552775385665588,48,3.5431084862443916,50
ank_29_0,1.835207884054358,69,1.4453344892720448,76,1.4013954533285922,77,1.362323095637779,72,1.1775752119999183,109
ank_29_11,3.9944975115326615,42,2.6700026476518426,43,3.2138340163076826,71,2.745717782720644,53,3.2340563162941156,58
ank_29_21,2.7096024964517307,37,3.346538417336118,51,1.2996044762210839,52,2.264232941355823,35,1.920209024443944,57
ank_29_24,1.8262782035956349,77,1.1764408763164824,98,0.6726167598865547,159,1.1937144942013649,103,0.792228934100206,175
ank_29_26,3.720947211507616,42,1.6257986464308045,73,0.8621825210801575,78,1.5332697101658972,69,0.9750153144323546,92
ank_2_12,1.978966927870006,77,2.442651313235626,86,1.658201128941402,93,1.720828948442919,82,1.8066095232041095,97
ank_2_23,2.769826729071904,41,2.147411436468075,46,0.9678575904835919,57,1.354307233567558,41,1.2692877443507826,60
ank_30_30,1.2229625608541594,84,0.8443253195749404,115,0.5225090293273911,147,0.6597529413817854,113,0.5833242143460167,146
ank_30_7,2.143560212861101,85,1.4152294802430099,105,0.6465267464456842,127,1.0836742180392112,102,0.7533422292514362,105
ank_31_32,1.2935808705680123,110,0.7267265809890813,152,0.5436544491724973,233,0.9187039410958422,154,0.6075475088850586,227
ank_31_7,1.5562532140569327,106,1.028538505572155,116,0.44308561806204905,176,1.2198103694721814,141,0.5892705279554519,150
ank_32_12,3.526263112122079,43,2.7269161254430028,50,2.7594411709737177,70,3.0185493963290924,64,3.545719585886291,65
ank_32_21,2.578338881427557,56,2.11137301636897,66,0.8851481756427122,106,1.4890469518290317,74,1.3062698250385367,99
ank_32_37,1.1410843858849529,109,0.7243185534979699,140,0.6187279837526852,194,0.8379180909608385,164,0.6070668522345468,212
ank_33_25,0.7384506999607716,122,0.72206359854394,155,0.5520782954794649,237,0.710765075700267,183,0.6340932402390933,265
ank_33_3,1.2171221982622071,102,1.3149555182121326,100,0.7030991072514285,178,1.1825193565685468,115,0.9311740307270877,152
ank_33_34,1.0620638328956362,135,0.7896049724616291,177,0.5138465723643431,288,0.885215062755119,219,0.6181629588903463,291
ank_33_36,0.94441882722684,87,0.7673582198786202,133,0.5600600259913499,216,0.8585827964090181,130,0.5675777359825731,160
ank_34_11,2.1287737687110035,93,1.7790914588191384,111,0.528612639573534,176,1.217876875523484,96,0.9052385004888618,159
ank_34_15,3.247861950784367,68,2.3322843469530574,55,1.0445793122862397,72,2.3071657098881087,60,1.5671587610124253,99
ank_34_21,2.0619582677506365,45,1.2436986777181471,57,0.8272318318021485,88,1.2415980041783887,53,0.8777107076463833,72
ank_34_30,0.9276991144080392,121,0.7883072958562178,168,0.5592687711165844,289,0.8594215134968679,174,0.7398880880052925,226
ank_35_11,1.3642746469371168,122,1.2483784068204835,115,0.7585283162749736,198,1.2666326496014153,130,0.8628103708520283,165
ank_35_28,1.107907097753739,163,0.8533472281612913,166,0.559822802504795,270,0.8744463038449584,174,0.6091635714692881,233
ank_35_39,2.095562543136553,38,1.5094050280148275,60,1.2038820236096326,82,1.8300763001973714,47,1.3694933422227635,78
ank_35_7,2.025982801213879,58,1.153427176773752,70,0.6674319943816074,101,1.4407541973175966,60,0.8958425899077005,109
ank_36_40,4.06478319959864,38,3.294237784308269,37,2.7110290207408703,44,3.362260370217811,41,2.4148786735058865,64
ank_38_19,4.571640519758185,27,2.143534361686786,28,3.1788836341370974,32,2.6670370113090662,38,2.4780666112147793,46
ank_38_22,1.0934926310796658,93,0.6429714075561365,113,0.5067024048964556,167,0.8581945627512421,111,0.6045769957800413,153
ank_38_24,3.289505946454829,25,1.072189166035103,39,1.03655737280173,51,1.3403835977789265,50,1.2993663898530583,71
ank_38_27,2.1426518976101363,46,1.4573778823722343,64,1.1341630642892235,67,1.5221810542308383,62,1.2245901277748077,83
ank_38_40,4.572350961205214,36,3.3049687132926935,49,1.895965014377902,49,2.141152150642971,38,2.15290624936071,55
ank_38_9,1.0070154102404998,76,1.0326220047632217,100,0.5631600288552535,141,0.7938884088576696,90,0.6546492342806106,133
ank_39_1,3.857704303971118,43,3.179454722238744,49,3.093890513313679,63,2.7350970842381592,45,3.937282418705544,63
ank_3_13,3.2403907286669265,42,2.690061325164631,51,1.0853629457190896,67,2.0627560506944427,66,1.218425297730153,76
ank_3_25,3.465864653519852,50,3.721041619729201,28,2.674155191642602,56,2.5786457196854657,42,2.469812550586328,74
ank_3_29,3.442547409282412,13,3.8116887457015167,19,3.789663696053472,12,3.3787393702609334,17,3.4604379806179866,24
ank_3_34,1.3984197669960885,51,1.4738077487088148,70,0.7403097392693038,117,0.8991627684303048,65,0.6955308586959875,91
ank_3_39,2.9192768682694235,22,3.0002926980715148,35,2.6548511633128995,58,2.300906845910074,30,2.4926326152069223,39
ank_3_9,1.916484618327928,52,1.337831374170965,61,1.5727855508248298,84,1.3619904169602113,59,1.6887187260795995,98
ank_40_19,1.059808318045326,81,0.8404289282894231,88,0.4929362022796651,104,0.5566900288800195,101,0.568521762963747,129
ank_40_2,3.5384579212473257,36,3.3174856158610337,42,2.702172645916965,45,2.809544897633494,49,2.4846349621186397,56
ank_40_40,3.28750465661171,25,2.3216281924875837,38,3.9017476536969804,41,3.283276488645279,38,2.483434352988116,50
ank_41_0,2.426187977116153,43,2.032204330109521,49,2.719819531191077,47,2.54600642732437,51,1.4166265334834862,52
ank_41_1,2.0345253557256497,38,2.498475781980061,38,2.0083810991562023,50,2.4714137130793885,47,2.698973662299486,44
ank_41_19,3.3341715937949523,28,2.880864821822381,23,2.7122442739433854,28,3.307617077930444,34,2.0453133159860397,35
ank_41_40,3.098666632884822,25,4.457903917942254,24,3.801561226733401,37,3.706353446728891,23,3.422383108711456,42
ank_4_23,3.839902619777315,32,2.334908551194845,35,1.4600195214181053,43,2.164238291479885,42,1.6595776950661403,58
ank_4_41,3.667302818899143,35,2.213213745953165,30,1.259337629402109,42,1.7260994461007917,35,1.646061025322437,48
ank_5_12,1.2636424016899404,102,1.0225029657962874,119,0.39120652285176183,170,0.9258749921071519,137,0.569245769295196,194
ank_5_40,2.9529203820752095,11,4.813143600985289,10,4.53358838334878,19,4.2999044092205985,17,3.4141985026551644,26
ank_5_5,1.91496902998628,75,1.4211564969565675,75,0.6344732524278208,128,1.1325548778424108,119,0.7794911520787394,117
ank_6_10,1.701941016175065,78,2.092180711650483,81,1.6726953571374208,100,1.6140339681918114,93,1.9023972006626577,115
ank_6_38,2.565681799046371,23,3.481290390028521,18,2.680527877399571,13,2.3696959060477147,21,3.0352812690548734,21
ank_7_36,4.879859744562963,15,4.202231794579251,21,4.150895963989275,17,4.737312150913702,12,2.9606846925349024,17
ank_7_8,2.5132355566538624,87,2.2009108745365342,82,1.2922705149019418,107,2.120432853181437,87,1.5963801394494697,92
ank_8_19,3.894557755594142,36,3.725529777308415,36,3.2934334417018727,40,3.4691384133687047,38,3.003277407362247,44
ank_8_22,2.9705626908333747,54,2.128914128088066,41,1.1777022681823588,75,1.8124429314786492,57,0.8896229365358528,68
ank_8_31,2.4848005592675184,22,2.7791286140466993,25,1.933368050059714,39,1.6101737460496615,39,1.3081059091640204,46
ank_8_41,1.38301893146909,58,1.1003143660024994,99,0.6501947095391679,105,0.8800143883709294,97,0.594672361969463,143
