stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.637165028420658,55,1.3467420445378666,71,2.4224676766351805,67,1.860226183466707,90
ank_0_16,1.7794117572928982,77,0.5600570444967014,83,0.484445180643018,105,0.6649917830460991,90,0.5010698461355917,150
ank_0_30,3.446224904304089,34,3.930822834325302,34,2.0487479455287074,31,4.119792304951497,37,2.3974303572381177,34
ank_0_41,2.1414429988142,32,1.1994168646915049,43,1.0664495569467922,56,1.4379325339889086,59,0.8446175518728898,57
ank_10_1,1.4076327083073523,74,1.5651909854741988,92,0.6469141819386695,136,1.2412610316477304,86,0.5694477559693701,123
ank_11_14,1.8192047515453464,53,1.3206814937784013,72,0.5742332792054944,91,1.0719483697632468,67,0.8628228090141215,92
ank_12_21,3.6687100519133344,55,3.3335710558825564,48,3.390975596326935,51,4.604054620959635,37,2.8665628860981065,67
ank_12_28,4.148737253943167,29,3.6610838224786213,26,2.721216678906575,39,3.940812658679203,27,2.680551512197617,45
ank_12_35,1.8827222694319123,56,0.6308885369384983,125,0.4674182284264344,224,0.5209015079490171,148,0.4179461375840962,220
ank_13_12,1.8296589099999625,83,1.6950434897584958,101,0.7929164874712731,132,1.2782195729262846,98,0.7771950899920539,134
ank_13_17,2.40932319308119,48,2.458434289592057,60,0.9978357338649133,73,2.448655061879113,54,1.8129785979936182,79
ank_13_21,2.361124845412062,56,2.250252029326714,49,1.862922359922684,70,3.135010032723973,60,2.58109361316664,75
ank_13_29,2.4747231628745565,44,1.5683906402584342,50,1.7851924139007347,58,2.2129001076439963,58,1.8340392045139284,66
ank_13_34,2.6576811136475333,21,2.839305194829353,40,1.643987129978723,22,4.405595248135377,22,2.4165789875891335,37
ank_13_6,1.8831103007537435,72,0.8475169911173606,122,0.5071246161129308,180,0.7506207940592946,110,0.5083550729615737,141
ank_14_33,3.023045039824054,24,1.110026931157934,37,0.9627087927938542,62,1.6490194046950477,50,0.8768138439398362,53
ank_14_9,2.641791696683742,60,0.8661334970198258,70,0.6417841475573466,73,1.331526230639009,78,1.4605287344019924,102
ank_15_22,3.388774697360242,47,2.704255528434623,58,1.4177877527111347,81,2.002834487986833,66,1.7637792924112132,91
ank_15_41,3.6136167013673552,30,2.8407518111092767,42,1.3196565703334102,56,1.8912940638404911,51,1.7209993234279168,51
ank_15_6,2.5788618794043954,58,1.013659386891196,99,0.4209410311631182,162,0.8816596897363487,96,0.6041691970645584,138
ank_16_36,3.8246085668434584,11,2.7981446479165504,16,3.4658044037035873,18,4.117790574232115,23,3.211019450915987,21
ank_16_9,2.458009300731516,38,1.8075980723635445,72,0.7576795205851168,105,1.1284583413571183,68,0.8913152488670711,103
