stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.5280510695768106,62,1.5616379324728964,55,1.2776220990138931,59,1.5489107741273995,89
ank_0_16,1.7794117572928982,77,0.7303115314783685,99,0.5316632148143614,115,0.7292335991995305,99,0.6575136299777185,140
ank_0_30,3.446224904304089,34,3.5611717291335934,30,2.930753212939276,28,5.005599827304051,24,2.4567184475130985,40
ank_0_41,2.1414429988142,32,1.1793168788780435,39,0.6953420658932864,43,1.1080919020130415,43,0.7353030709752,52
ank_10_1,1.4076327083073523,74,1.170704576702933,98,0.6139198475831154,164,1.5195331505998557,99,0.7677937118769864,152
ank_11_14,1.8192047515453464,53,1.9152950062356244,65,0.7484566386815888,109,1.5886846609471974,72,0.7781162031749203,96
ank_12_21,3.6687100519133344,55,2.9055868917535204,54,3.4780454896021933,47,3.978720064126125,54,2.9120059245113694,64
ank_12_28,4.148737253943167,29,2.6738449355839093,27,3.5409167238244006,32,3.7298444190236832,32,3.472863312188026,26
ank_12_35,1.8827222694319123,56,0.5537290949531288,134,0.40683001238968874,216,0.7306554227578431,137,0.5063358314613232,213
ank_13_12,1.8296589099999625,83,1.16593850417155,90,0.6382276185588289,116,1.6242660384972711,110,0.5437247797289282,92
ank_13_17,2.40932319308119,48,3.0225544423427606,52,1.0853744523497801,73,2.0399501649056946,48,1.3664918733771554,84
ank_13_21,2.361124845412062,56,3.287980533265875,51,2.3775845441257344,82,3.332382989169699,64,2.2848060768456113,70
ank_13_29,2.4747231628745565,44,3.2818921475762317,44,0.8349175334277095,50,3.591721148500373,47,1.0963140980156352,64
ank_13_34,2.6576811136475333,21,4.047227141093523,23,2.371092919803056,27,3.882794505908662,30,1.6935330279165117,24
ank_13_6,1.8831103007537435,72,0.9995608762167177,131,0.5018330734783928,153,0.7981744702122266,96,0.5192098124833879,163
ank_14_33,3.023045039824054,24,0.8675513331591587,57,0.7597257348674286,55,1.0672759865872417,47,0.9692157562390761,54
ank_14_9,2.641791696683742,60,1.7496702916852342,59,0.7571825039145743,90,2.1700981921253173,73,0.8912615255362231,88
ank_15_22,3.388774697360242,47,2.303349090104869,73,1.2705669880575479,67,3.3119869127165416,49,1.892758466691334,103
ank_15_41,3.6136167013673552,30,3.0177386667854664,32,1.4421882865550704,39,3.3179899853979355,39,2.1727679600842906,53
ank_15_6,2.5788618794043954,58,1.4250398062889902,89,0.49306659880078113,169,1.0010635229535432,89,0.6224773355419293,147
ank_16_36,3.8246085668434584,11,3.949372719677651,16,3.299991776850721,22,4.011775628980346,17,2.328053179107558,30
ank_16_9,2.458009300731516,38,1.9087804522594674,64,0.5707068214650657,110,1.6960535897916411,71,0.6449656974061213,100
ank_17_17,3.2964406701328497,62,3.335680903820866,48,1.885735821792331,54,3.380793186308079,62,2.962998105141347,59
ank_17_19,2.732016847994027,55,2.5178202280691933,52,1.657515011712813,75,2.503790874728943,56,1.974646519657746,59
ank_17_22,4.044052899922436,41,2.559950027680457,44,2.1225809302268406,61,2.892988878551926,54,1.653284448255536,67
ank_17_31,2.5965451202702488,61,0.668283264833633,114,0.48626417389283877,161,0.790962091794113,110,0.5348862069422985,195
ank_17_32,3.0338922631839655,41,2.2498266952361488,59,1.1388744519837075,35,1.7773569097586506,47,1.4241348009477734,64
ank_18_16,3.662567148824515,46,2.338853736283987,74,0.9822879064375433,65,2.546487490528159,51,1.6231920849380126,71
ank_18_27,2.731841450892978,37,3.5509771475772354,38,2.5073972294649787,45,2.9954886376802867,55,2.4227863343293228,74
ank_18_29,2.108913983042069,56,1.298833093467214,97,0.7458821363244265,84,1.944417204465946,78,0.8661852695688044,110
ank_18_37,1.3963166307531871,33,0.8149293615922443,38,0.7399015748728494,65,0.7488977570123243,41,0.7383557332839868,67
ank_18_39,1.7130964755298188,56,0.5338077803653405,61,0.37973207393885505,79,0.5443565150651165,67,0.5676090185880648,96
ank_18_7,2.5973855611610084,54,1.307769087110767,86,0.6968921473342199,91,1.8696005039555001,93,1.154484704818971,122
ank_19_15,2.79484842385336,51,1.5505853782376289,74,0.7697671496428644,75,1.5513976736641295,63,0.930251085622924,110
ank_19_33,4.31472540924909,19,3.032123310940299,17,3.5606138802233387,28,4.185968169768123,26,2.925459608515105,26
ank_19_6,2.617815815166602,60,1.4967142215897997,41,1.9427098391223308,69,2.9836612047564213,38,2.142081719422382,74
ank_19_9,2.625465191897572,32,1.7072188050233201,50,0.8364176601514279,76,2.6890352306679293,51,1.0310892422071567,78
ank_1_34,3.473055132023447,26,1.7837996881649443,55,1.1321522443380774,60,2.0114692531803064,45,0.9747589569667481,74
ank_20_10,2.3238447686911368,42,0.6116646627205111,122,0.42551733312324846,159,0.8224624581568252,106,0.32633307433751935,156
ank_20_19,3.339545118262882,43,3.5786610784237984,63,3.104586615190739,63,3.6623725056321073,47,2.333703124308576,49
ank_20_37,1.0153386685246166,105,0.6704924275903793,157,0.5671514332396608,197,0.6247015915351565,144,0.5054628278028663,203
ank_20_6,2.953198259465808,53,3.3207407609290613,61,1.889407816872151,84,2.71367404323044,54,1.7929408933334425,103
ank_22_10,1.9163009480003148,79,1.2658846972093887,130,0.5669743864535882,137,0.9320507824508544,102,0.8185543246882117,156
ank_22_16,3.183092814088014,51,3.643740271068771,44,1.7718911771236385,46,2.6601301142228926,51,1.7076344263712846,66
ank_22_37,1.8768363310702,39,1.3673798584007661,48,1.0404881338323628,60,1.3462413255309686,43,0.871658294391922,76
ank_23_14,2.28414728193807,66,1.928128730692859,50,1.6290092991040819,66,1.9070453792344293,64,1.5525965763728267,84
ank_23_28,1.0840761626184352,66,0.5810384810517621,85,0.5033952338515999,133,0.8826735705206846,97,0.5759703309968875,120
ank_24_0,2.849717206309148,66,1.761498382284676,93,0.9686312181609182,89,1.4555276527419603,79,1.1595123240634455,93
ank_24_12,2.2243788583002155,51,2.684149263360816,63,2.1654747518123227,57,2.0672023254028815,67,1.1980343104297548,60
ank_24_14,2.8929374480514225,42,1.4047757051549685,77,0.3640435670311484,114,0.9923088267168089,67,0.5268612828584345,134
ank_24_3,3.493766352589964,61,3.461402892084383,56,2.9854057421703057,50,3.3045898436846195,49,2.8560047384483394,60
ank_25_1,2.324888068299498,68,1.106416019527079,107,0.6883093809255629,101,1.6439079592644497,98,0.7844052490009189,161
ank_25_14,3.0427482489735964,50,3.6286750727201458,80,1.157574940211409,64,3.2034245813894233,57,1.8371672839735438,100
ank_25_16,3.184549785322961,58,2.2225357672740054,68,2.5349850955502227,54,2.786956011224612,73,2.0948616804756734,67
ank_25_37,2.8801973886597163,37,1.6184531018770907,77,0.9377203499573706,87,1.6213301017416724,60,1.067907017412518,68
