stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,1.8889995002167734,63,1.714806913647111,73,2.0105122635214046,80,1.6079287278916015,88
ank_0_16,1.7794117572928982,77,1.0733686653829697,80,0.5487444312272253,127,0.6282533904801718,87,0.6143390182246025,125
ank_0_30,3.446224904304089,34,4.173676673381745,36,2.517599472425191,31,3.2593458345871182,35,2.3703356071599897,32
ank_0_41,2.1414429988142,32,1.5049441314781418,44,1.031046212005873,57,1.2377349395604786,53,1.3466951679263408,65
ank_10_1,1.4076327083073523,74,1.104389530474271,104,0.5854541484892616,139,1.6027438220787158,91,0.5398257409092727,129
ank_11_14,1.8192047515453464,53,1.1818286141799264,74,0.521279255483508,79,1.3853263054270941,47,0.7941307968667473,89
ank_12_21,3.6687100519133344,55,3.2174993791809245,60,3.589512035093117,48,3.1412323943884752,55,2.8512296375654222,63
ank_12_28,4.148737253943167,29,3.9876928821503257,31,2.574314981062584,31,3.647859466785718,28,1.772425569384964,39
ank_12_35,1.8827222694319123,56,0.6358655320861007,141,0.38558000946863374,217,0.6567381032890222,147,0.43840814466717404,216
ank_13_12,1.8296589099999625,83,1.296508742709909,100,0.8376913903875887,122,1.1258139468490311,96,0.7224524614526775,124
ank_13_17,2.40932319308119,48,2.4413967573888957,56,0.8626563865584723,51,3.0364176004895143,55,1.6051775530155301,80
ank_13_21,2.361124845412062,56,2.7393772840507538,48,1.9672612542439376,68,3.1451586763090607,37,2.7099306168120822,76
ank_13_29,2.4747231628745565,44,3.140428407802935,47,1.0030741165673172,46,2.4577852169069088,48,1.4559374234903335,72
ank_13_34,2.6576811136475333,21,4.784548594188901,29,2.357224494966451,23,3.6342033203002,31,2.75572856726662,31
ank_13_6,1.8831103007537435,72,0.9005771141738312,116,0.6054206064143705,163,0.8158872545887482,113,0.49805598516518257,162
ank_14_33,3.023045039824054,24,1.19814454251317,47,0.8611516318939861,51,1.1852820762166993,43,0.7408877959331468,68
ank_14_9,2.641791696683742,60,1.6416391024314825,74,0.8468702052583955,106,1.5423504480556662,65,1.1288977197180954,105
ank_15_22,3.388774697360242,47,2.710868904562756,58,1.3684962762739117,89,3.3112445997245508,49,1.1973844667183593,81
ank_15_41,3.6136167013673552,30,4.055673570802272,38,1.7918744143904979,45,2.6344735643777693,44,1.3977980076161085,54
ank_15_6,2.5788618794043954,58,0.9342576706541766,122,0.5089921419864606,161,1.005924660700321,82,0.6306660670747388,123
ank_16_36,3.8246085668434584,11,3.5592052091941895,22,3.6376556165566374,29,3.8551275630566115,15,2.9841791757689884,21
ank_16_9,2.458009300731516,38,2.0780482141976324,63,0.6939835847925656,103,1.5411984789146698,78,1.0909222361344217,102
ank_17_17,3.2964406701328497,62,2.965565334713608,64,2.50813038982836,31,3.616372234310056,58,2.5185897611565444,58
ank_17_19,2.732016847994027,55,3.3752908483961965,70,1.647549983452048,66,2.788819395214077,57,1.5556458110958666,74
