stem,pre_med,pre_n,C1_med,C1_n,C2_med,C2_n,C4_med,C4_n,C5_med,C5_n
ank_0_10,3.5727471516299905,53,2.475940199679204,64,1.9143797405508032,85,2.0288400474937354,69,1.7126493547117394,84
ank_0_16,1.7794117572928982,77,1.2466904174175255,95,0.6704615930589424,105,1.1334003731123987,86,0.5162389468879546,95
ank_0_30,3.446224904304089,34,3.161293939204434,33,2.52383737621697,31,3.544277142186577,29,4.190329880762161,30
ank_0_41,2.1414429988142,32,1.3581234112021783,44,0.9695775833222767,54,1.4064788307428748,41,0.9258514003924009,65
ank_10_1,1.4076327083073523,74,1.2141090361526554,65,0.760725061089788,136,1.2180762601698363,96,0.9560945974863511,121
ank_11_14,1.8192047515453464,53,1.5257689293688164,52,0.7590585821700977,68,1.6384931915872278,60,1.6367062358904256,76
ank_12_21,3.6687100519133344,55,3.4225210826489407,44,2.998056369137228,69,2.836222728053431,57,3.3329863516647804,59
ank_12_28,4.148737253943167,29,2.9464709804589795,35,2.368865284756105,29,4.125526213887808,22,2.2752895891942257,38
ank_12_35,1.8827222694319123,56,1.5915465188548052,68,0.569648936604708,159,0.974492648442328,83,0.5994221050544704,141
ank_13_12,1.8296589099999625,83,1.641465058546685,102,0.99184478497709,123,1.4443402206556155,99,1.0228998985471782,102
ank_13_17,2.40932319308119,48,2.005283659952134,44,1.5337580747964967,70,1.9730140352260688,56,1.41469206137481,72
ank_13_21,2.361124845412062,56,2.4951795751771724,56,2.1689610390746443,69,2.5807907523426126,58,3.0214338490743105,86
ank_13_29,2.4747231628745565,44,2.079947850671033,41,2.293000135326339,67,2.598698084487652,38,1.8467068480831192,61
ank_13_34,2.6576811136475333,21,3.2947371154041143,30,2.4849612678210136,26,3.733582577321676,18,3.115989284990193,40
ank_13_6,1.8831103007537435,72,1.060920554832439,97,0.5918180920497347,132,1.0924605897095847,100,0.5808592179831407,108
ank_14_33,3.023045039824054,24,1.6939842498295419,41,1.2720491218057521,49,1.2543646136730142,39,0.8705527215768798,54
ank_14_9,2.641791696683742,60,1.8129151420862373,60,1.4122490408823805,97,1.437569393664132,59,1.359387149423905,95
ank_15_22,3.388774697360242,47,2.253650733063277,62,2.485693952381938,90,1.9550859501973743,39,1.4681949459127084,77
ank_15_41,3.6136167013673552,30,2.099150037488702,29,2.674243007942065,40,3.0058375064916074,38,2.4073043553448747,68
ank_15_6,2.5788618794043954,58,1.0941304835776122,77,0.5973221951801024,137,1.5104260140755685,79,0.6403539919292529,124
ank_16_36,3.8246085668434584,11,6.0759143729891685,11,3.5099339171041057,22,2.9586219448148054,20,3.7984534663098204,21
ank_16_9,2.458009300731516,38,1.8912364982021335,70,0.8896656144768917,74,1.984350372570049,56,1.8474080380355027,84
ank_17_17,3.2964406701328497,62,3.0692547922133557,63,2.973873756905183,57,3.603797284896537,40,3.281856644545476,49
ank_17_19,2.732016847994027,55,2.9313963681867654,48,2.487831612477018,63,2.7352446994984856,55,2.5791011398484183,71
ank_17_22,4.044052899922436,41,2.599230567539004,55,2.3881006667057503,45,2.3409074090424107,51,1.984696946336316,68
ank_17_31,2.5965451202702488,61,1.5943603549568084,73,0.6160960763107002,130,1.0987255066066057,99,0.7959336032279606,128
ank_17_32,3.0338922631839655,41,2.022427198678867,41,1.9194424996904704,44,2.284044018453817,35,2.7419443318533676,53
ank_18_16,3.662567148824515,46,2.8426494787338097,51,2.1819493877307536,65,2.2442823854845004,69,1.7406804661560225,76
ank_18_27,2.731841450892978,37,3.0298395447851507,47,2.8233270883569834,62,2.4412817973802095,60,2.235483945719608,62
ank_18_29,2.108913983042069,56,1.713333476208268,60,0.9262517867927272,97,1.3720014202037145,76,1.05840039035767,98
ank_18_37,1.3963166307531871,33,1.1897952439937816,40,0.6456819079959146,60,0.8613124114488178,50,0.8279523054985088,66
ank_18_39,1.7130964755298188,56,0.627957618788051,72,0.4968364729828982,75,0.7314004098956034,80,0.4727435823742618,77
