stem,silent_frac,ref_edge,pretrained,C1,C2,C4,C5
ank_0_10,0.8282740843336411,0.6075434888635994,1.2495125960472495,0.7457471615887458,0.1018005275431018,1.4398486180664398,1.245880958752246
ank_0_16,0.6485072329947676,0.8831276696725202,0.8781741233373639,0.6705629450490393,0.2702203412602445,1.0045344619105199,0.971751981727798
ank_0_30,0.9586218836565097,0.84460096723055,0.8927035567487942,0.6588657368908741,0.15141723490698283,1.0700895720972226,0.9645037895887287
ank_0_41,0.9380001538935057,0.837370029326716,1.1071244887462959,0.9756802429526585,0.7093384928118341,1.1183659474418948,1.0997771301217212
ank_10_1,0.7575600184672207,0.5788070389274015,1.2177327366850927,0.8406598227603757,0.17925769939457753,1.4542862156707907,1.421689918399579
ank_11_14,0.7892236072637735,0.5514904818777878,1.4364006010784052,1.227216476619818,0.3345266507557677,1.5445505171042162,1.590426942455582
ank_12_21,0.9719721452754694,0.6283373245987294,1.0621141489227668,0.7868842131787829,0.14835580194027972,1.298160514048129,1.3432972155726346
ank_12_28,0.9538896583564174,0.7784701635509307,0.956867519817626,0.793974405471219,0.20618102688979845,1.1481011346562353,1.102973939174136
ank_12_35,0.8380847953216374,0.8732297381045286,1.0075176111870465,0.9232730522552833,0.5981495110924193,1.073230995689202,1.0599831773735675
ank_13_12,0.7532702369959988,0.5598600541396395,0.7376271495689458,0.7626237285043104,0.20982529763262325,1.152488254344752,1.1022214113031974
ank_13_17,0.9257848568790397,0.788534264223081,0.9273762154470474,0.7673983504176658,0.2014018814725026,1.1389759940973412,1.1306753801154181
ank_13_21,0.9445791012619268,0.5831619249333034,1.2819277108433735,0.913462545835516,0.221372446306967,1.5588964553867646,1.5087829579186312
ank_13_29,0.9066251154201292,0.8806492679821769,0.8898205035537887,0.7587278641127575,0.19643416455848695,1.0350078303818817,0.9583905553547766
ank_13_34,0.9328062480763312,0.7945598152234435,1.001453450647564,0.7573516052843313,0.06763736406343274,1.0945262010433698,1.0972254665317034
ank_13_6,0.6938288704216682,0.5818731285349895,0.9796540715681135,0.7557059131843522,0.2242340496497832,1.2381950731405156,1.2034592843188638
ank_14_33,0.9412511542012927,0.6874923359901901,1.3232557448200004,1.191652546151788,0.7033205505514432,1.340051725675555,1.3102945985314665
ank_14_9,0.7510195444752231,0.7802822673599549,1.0588582871023866,1.0688376062764666,0.43715326789876247,1.1780848898663954,1.1770016085086827
ank_15_22,0.9064712219144352,0.6872373838122321,1.1970108695652173,1.0154706027667983,0.30882534584980237,1.3286808300395256,1.2774209486166008
ank_15_41,0.9984033548784241,0.7820273212462188,0.9989652113925298,0.8923573469991131,0.28626687690943137,1.1914112545579973,1.1421848822312013
ank_15_6,0.7161819021237303,0.6905989793177545,1.079615728676442,0.7213255027031231,0.21255493757535687,1.2181556532223563,1.0616856598343123
ank_16_36,0.9506001846722069,0.6942488262910798,0.9913137260617367,0.7419768560352116,0.19701518640510682,1.2395720989885448,1.322820415658612
ank_16_9,0.8563211757463836,0.8605413905425138,0.8945623515284413,0.5906492286005169,0.32753804787636726,1.0263137285613595,0.9468243401989193
ank_17_17,0.9187249923053247,0.6143554094516217,1.2190450223237108,0.6580552810061007,0.08489826522613408,1.4809652022766777,1.3875805187280597
ank_17_19,0.8120960295475531,0.6472901269660792,1.079557930176389,1.056978701602869,0.5239332503842494,1.2861377442728537,1.3577911146893067
ank_17_22,0.851762080640197,0.7991553367360766,0.6926663840610428,0.3680655645047336,0.0906881446940794,0.9725024727992087,0.9697046771230747
ank_17_31,0.9542166820560173,0.9022457866301105,0.9895430678136521,0.9189364316836108,0.6576471902580717,1.0122220980895988,1.036219416824936
ank_17_32,0.971375807940905,0.6293567807351077,1.2500629326620516,1.0748269351793582,0.39540591567023287,1.4467589679043424,1.3929200755191946
ank_18_16,0.8534164358264081,0.7465737985754215,1.167627789016032,0.9981280758431207,0.27740708311947104,1.2141541620120166,1.18997010959814
